Source_tissue	Target_tissue	Source_cytokine_ensembl	Target_cytokine_ensembl	Source_cytokine_genename	Target_cytokine_genename	Source_cytokine_description	Target_cytokine_description	Source_cytokine_uniprot	Target_cytokine_uniprot	Receptor_ensembl	Receptor_genename	Receptor_synonym	Receptor_uniprot	Receptor_description	Source_tissue_ontology	Target_tissue_ontology	reference_first	reference_second	Action.Sentiment_first	Action.Sentiment_second	NumPapers_first	NumPapers_second	Enrichment.Score_first	Enrichment.Score_second
brain	skin 1	ENSG00000120337	ENSG00000145824	TNFSF18	CXCL14	TNF superfamily member 18	C-X-C motif chemokine ligand 14	Q9UNG2	O95715	ENSG00000186891	TNFRSF18	AITR, CD357, GITR	Q9Y5U5	TNF receptor superfamily member 18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
brain	skin 1	ENSG00000120337	ENSG00000145839	TNFSF18	IL9	TNF superfamily member 18	Interleukin 9	Q9UNG2	P15248	ENSG00000186891	TNFRSF18	AITR, CD357, GITR	Q9Y5U5	TNF receptor superfamily member 18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
brain	skin 1	ENSG00000120337	ENSG00000147896	TNFSF18	IFNK	TNF superfamily member 18	Interferon kappa	Q9UNG2	Q9P0W0	ENSG00000186891	TNFRSF18	AITR, CD357, GITR	Q9Y5U5	TNF receptor superfamily member 18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
brain	skin 1	ENSG00000120337	ENSG00000150782	TNFSF18	IL18	TNF superfamily member 18	Interleukin 18	Q9UNG2	Q14116	ENSG00000186891	TNFRSF18	AITR, CD357, GITR	Q9Y5U5	TNF receptor superfamily member 18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
brain	skin 1	ENSG00000120337	ENSG00000157368	TNFSF18	IL34	TNF superfamily member 18	Interleukin 34	Q9UNG2	Q6ZMJ4	ENSG00000186891	TNFRSF18	AITR, CD357, GITR	Q9Y5U5	TNF receptor superfamily member 18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
brain	skin 1	ENSG00000120337	ENSG00000197110	TNFSF18	IFNL3	TNF superfamily member 18	Interferon lambda 3	Q9UNG2	Q8IZI9	ENSG00000186891	TNFRSF18	AITR, CD357, GITR	Q9Y5U5	TNF receptor superfamily member 18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
brain	skin 1	ENSG00000120337	ENSG00000213927	TNFSF18	CCL27	TNF superfamily member 18	C-C motif chemokine ligand 27	Q9UNG2	Q9Y4X3	ENSG00000186891	TNFRSF18	AITR, CD357, GITR	Q9Y5U5	TNF receptor superfamily member 18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
brain	urinary bladder	ENSG00000145839	ENSG00000111536	IL9	IL26	Interleukin 9	Interleukin 26	P15248	Q9NPH9	ENSG00000124334	IL9R	CD129	Q01113	Interleukin 9 receptor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
brain	urinary bladder	ENSG00000145839	ENSG00000112115	IL9	IL17A	Interleukin 9	Interleukin 17A	P15248	Q16552	ENSG00000124334	IL9R	CD129	Q01113	Interleukin 9 receptor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
brain	urinary bladder	ENSG00000145839	ENSG00000112116	IL9	IL17F	Interleukin 9	Interleukin 17F	P15248	Q96PD4	ENSG00000124334	IL9R	CD129	Q01113	Interleukin 9 receptor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
brain	urinary bladder	ENSG00000145839	ENSG00000127318	IL9	IL22	Interleukin 9	Interleukin 22	P15248	Q9GZX6	ENSG00000124334	IL9R	CD129	Q01113	Interleukin 9 receptor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
brain	urinary bladder	ENSG00000145839	ENSG00000197919	IL9	IFNA1	Interleukin 9	Interferon alpha 1	P15248	P01562	ENSG00000124334	IL9R	CD129	Q01113	Interleukin 9 receptor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
breast	adipose tissue	ENSG00000276409	ENSG00000108688	CCL14	CCL7	C-C motif chemokine ligand 14	C-C motif chemokine ligand 7	Q16627	P80098	ENSG00000213088	ACKR1	CCBP1, CD234, DARC, Dfy, FY, GPD	Q16570	Atypical chemokine receptor 1 (Duffy blood group)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
breast	adipose tissue	ENSG00000276409	ENSG00000136244	CCL14	IL6	C-C motif chemokine ligand 14	Interleukin 6	Q16627	P05231	ENSG00000213088	ACKR1	CCBP1, CD234, DARC, Dfy, FY, GPD	Q16570	Atypical chemokine receptor 1 (Duffy blood group)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
breast	basophil	ENSG00000276409	ENSG00000019991	CCL14	HGF	C-C motif chemokine ligand 14	Hepatocyte growth factor	Q16627	P14210	ENSG00000183625	CCR3	CC-CKR-3, CD193, CKR3, CMKBR3	P51677	C-C motif chemokine receptor 3	NA	CL_0000767	NA	NA	NA	NA	NA	NA	NA	NA
breast	basophil	ENSG00000276409	ENSG00000099985	CCL14	OSM	C-C motif chemokine ligand 14	Oncostatin M	Q16627	P13725	ENSG00000183625	CCR3	CC-CKR-3, CD193, CKR3, CMKBR3	P51677	C-C motif chemokine receptor 3	NA	CL_0000767	NA	NA	NA	NA	NA	NA	NA	NA
breast	basophil	ENSG00000276409	ENSG00000113520	CCL14	IL4	C-C motif chemokine ligand 14	Interleukin 4	Q16627	P05112	ENSG00000183625	CCR3	CC-CKR-3, CD193, CKR3, CMKBR3	P51677	C-C motif chemokine receptor 3	NA	CL_0000767	NA	376|Eosinophils, basophils, and mast cells are each attractive possibilities because they can produce abundant IL-4 when activated by chitin, a polysaccharide present in helminth parasites, as well as in insects and crustaceans, which induces TH2 responses.;451|However, eosinophils and basophils that are recruited by chemokines produced by ILC2s are activated to produce IL-4 in response to the IL-5 and IL-13 produced by ILC2s, possibly providing an indirect mechanism by which TH2 differentiation is directed by ILC2s.;612|The specific IgE produced in response to the allergen binds to the high-affinity receptor for IgE on mast cells and basophils. IgE production can be amplified by these cells because, upon activation, they produce IL-4 and express CD40 ligand.;617|Basophils express high-affinity FcεRI on their cell surfaces and so have IgE bound. On activation by antigen binding to IgE or by cytokines, they release histamine from their granules and also produce IL-4 and IL-13.	NA	Positive	NA	35	NA	28.76
breast	basophil	ENSG00000276409	ENSG00000113520	CCL14	IL4	C-C motif chemokine ligand 14	Interleukin 4	Q16627	P05112	ENSG00000183625	CCR3	CC-CKR-3, CD193, CKR3, CMKBR3	P51677	C-C motif chemokine receptor 3	NA	CL_0000767	NA	605|Figure 14.3	NA	Positive	NA	35	NA	28.76
breast	basophil	ENSG00000276409	ENSG00000121858	CCL14	TNFSF10	C-C motif chemokine ligand 14	TNF superfamily member 10	Q16627	P50591	ENSG00000183625	CCR3	CC-CKR-3, CD193, CKR3, CMKBR3	P51677	C-C motif chemokine receptor 3	NA	CL_0000767	NA	NA	NA	NA	NA	NA	NA	NA
breast	basophil	ENSG00000276409	ENSG00000140285	CCL14	FGF7	C-C motif chemokine ligand 14	Fibroblast growth factor 7	Q16627	P21781	ENSG00000183625	CCR3	CC-CKR-3, CD193, CKR3, CMKBR3	P51677	C-C motif chemokine receptor 3	NA	CL_0000767	NA	NA	NA	NA	NA	NA	NA	NA
breast	basophil	ENSG00000276409	ENSG00000142224	CCL14	IL19	C-C motif chemokine ligand 14	Interleukin 19	Q16627	Q9UHD0	ENSG00000183625	CCR3	CC-CKR-3, CD193, CKR3, CMKBR3	P51677	C-C motif chemokine receptor 3	NA	CL_0000767	NA	NA	NA	NA	NA	NA	NA	NA
breast	basophil	ENSG00000276409	ENSG00000163235	CCL14	TGFA	C-C motif chemokine ligand 14	Transforming growth factor alpha	Q16627	P01135	ENSG00000183625	CCR3	CC-CKR-3, CD193, CKR3, CMKBR3	P51677	C-C motif chemokine receptor 3	NA	CL_0000767	NA	NA	NA	NA	NA	NA	NA	NA
breast	basophil	ENSG00000276409	ENSG00000163736	CCL14	PPBP	C-C motif chemokine ligand 14	Pro-platelet basic protein	Q16627	P02775	ENSG00000183625	CCR3	CC-CKR-3, CD193, CKR3, CMKBR3	P51677	C-C motif chemokine receptor 3	NA	CL_0000767	NA	NA	NA	NA	NA	NA	NA	NA
breast	basophil	ENSG00000276409	ENSG00000163737	CCL14	PF4	C-C motif chemokine ligand 14	Platelet factor 4	Q16627	P02776	ENSG00000183625	CCR3	CC-CKR-3, CD193, CKR3, CMKBR3	P51677	C-C motif chemokine receptor 3	NA	CL_0000767	NA	NA	NA	NA	NA	NA	NA	NA
breast	basophil	ENSG00000276409	ENSG00000184371	CCL14	CSF1	C-C motif chemokine ligand 14	Colony stimulating factor 1	Q16627	P09603	ENSG00000183625	CCR3	CC-CKR-3, CD193, CKR3, CMKBR3	P51677	C-C motif chemokine receptor 3	NA	CL_0000767	NA	NA	NA	NA	NA	NA	NA	NA
breast	eosinophil	ENSG00000276409	ENSG00000105329	CCL14	TGFB1	C-C motif chemokine ligand 14	Transforming growth factor beta 1	Q16627	P01137	ENSG00000144648	ACKR2	CCBP2, CCR10, CCR9, CMKBR9, D6	O00590	Atypical chemokine receptor 2	NA	CL_0000771	NA	509|Once in the mucosa, TGF-β-dependent class switching to IgA occurs under the influence of local factors, including IL-6, retinoic acid, and BAFF and APRIL (see Fig. 10.6), which bind to TACI on B cells substituting for signals otherwise supplied by CD4 helper T cells (see Section 10-1). Intestinal epithelial cells can produce BAFF and APRIL, while local eosinophils may contribute by producing APRIL, IL-6, and TGF-β.;522|Eosinophils in the healthy intestine assist antigen-specific IgA switching by producing APRIL, IL-6, and TGF-β when exposed to commensal microbes (see Section 12-11).;616|Table Figure 14.10	NA	NA	NA	NA	NA	NA
breast	eosinophil	ENSG00000276409	ENSG00000105329	CCL14	TGFB1	C-C motif chemokine ligand 14	Transforming growth factor beta 1	Q16627	P01137	ENSG00000183625	CCR3	CC-CKR-3, CD193, CKR3, CMKBR3	P51677	C-C motif chemokine receptor 3	NA	CL_0000771	NA	509|Once in the mucosa, TGF-β-dependent class switching to IgA occurs under the influence of local factors, including IL-6, retinoic acid, and BAFF and APRIL (see Fig. 10.6), which bind to TACI on B cells substituting for signals otherwise supplied by CD4 helper T cells (see Section 10-1). Intestinal epithelial cells can produce BAFF and APRIL, while local eosinophils may contribute by producing APRIL, IL-6, and TGF-β.;522|Eosinophils in the healthy intestine assist antigen-specific IgA switching by producing APRIL, IL-6, and TGF-β when exposed to commensal microbes (see Section 12-11).;616|Table Figure 14.10	NA	NA	NA	NA	NA	NA
breast	eosinophil	ENSG00000276409	ENSG00000108691	CCL14	CCL2	C-C motif chemokine ligand 14	C-C motif chemokine ligand 2	Q16627	P13500	ENSG00000144648	ACKR2	CCBP2, CCR10, CCR9, CMKBR9, D6	O00590	Atypical chemokine receptor 2	NA	CL_0000771	NA	NA	NA	Positive	NA	3	NA	0.47
breast	eosinophil	ENSG00000276409	ENSG00000108691	CCL14	CCL2	C-C motif chemokine ligand 14	C-C motif chemokine ligand 2	Q16627	P13500	ENSG00000183625	CCR3	CC-CKR-3, CD193, CKR3, CMKBR3	P51677	C-C motif chemokine receptor 3	NA	CL_0000771	NA	NA	NA	Positive	NA	3	NA	0.47
breast	eosinophil	ENSG00000276409	ENSG00000157368	CCL14	IL34	C-C motif chemokine ligand 14	Interleukin 34	Q16627	Q6ZMJ4	ENSG00000144648	ACKR2	CCBP2, CCR10, CCR9, CMKBR9, D6	O00590	Atypical chemokine receptor 2	NA	CL_0000771	NA	NA	NA	NA	NA	NA	NA	NA
breast	eosinophil	ENSG00000276409	ENSG00000157368	CCL14	IL34	C-C motif chemokine ligand 14	Interleukin 34	Q16627	Q6ZMJ4	ENSG00000183625	CCR3	CC-CKR-3, CD193, CKR3, CMKBR3	P51677	C-C motif chemokine receptor 3	NA	CL_0000771	NA	NA	NA	NA	NA	NA	NA	NA
breast	eosinophil	ENSG00000276409	ENSG00000161955	CCL14	TNFSF13	C-C motif chemokine ligand 14	TNF superfamily member 13	Q16627	O75888	ENSG00000144648	ACKR2	CCBP2, CCR10, CCR9, CMKBR9, D6	O00590	Atypical chemokine receptor 2	NA	CL_0000771	NA	509|Once in the mucosa, TGF-β-dependent class switching to IgA occurs under the influence of local factors, including IL-6, retinoic acid, and BAFF and APRIL (see Fig. 10.6), which bind to TACI on B cells substituting for signals otherwise supplied by CD4 helper T cells (see Section 10-1). Intestinal epithelial cells can produce BAFF and APRIL, while local eosinophils may contribute by producing APRIL, IL-6, and TGF-β.;522|Eosinophils in the healthy intestine assist antigen-specific IgA switching by producing APRIL, IL-6, and TGF-β when exposed to commensal microbes (see Section 12-11).	NA	NA	NA	NA	NA	NA
breast	eosinophil	ENSG00000276409	ENSG00000161955	CCL14	TNFSF13	C-C motif chemokine ligand 14	TNF superfamily member 13	Q16627	O75888	ENSG00000183625	CCR3	CC-CKR-3, CD193, CKR3, CMKBR3	P51677	C-C motif chemokine receptor 3	NA	CL_0000771	NA	509|Once in the mucosa, TGF-β-dependent class switching to IgA occurs under the influence of local factors, including IL-6, retinoic acid, and BAFF and APRIL (see Fig. 10.6), which bind to TACI on B cells substituting for signals otherwise supplied by CD4 helper T cells (see Section 10-1). Intestinal epithelial cells can produce BAFF and APRIL, while local eosinophils may contribute by producing APRIL, IL-6, and TGF-β.;522|Eosinophils in the healthy intestine assist antigen-specific IgA switching by producing APRIL, IL-6, and TGF-β when exposed to commensal microbes (see Section 12-11).	NA	NA	NA	NA	NA	NA
breast	eosinophil	ENSG00000276409	ENSG00000163235	CCL14	TGFA	C-C motif chemokine ligand 14	Transforming growth factor alpha	Q16627	P01135	ENSG00000144648	ACKR2	CCBP2, CCR10, CCR9, CMKBR9, D6	O00590	Atypical chemokine receptor 2	NA	CL_0000771	NA	616|Table Figure 14.10	NA	NA	NA	NA	NA	NA
breast	eosinophil	ENSG00000276409	ENSG00000163235	CCL14	TGFA	C-C motif chemokine ligand 14	Transforming growth factor alpha	Q16627	P01135	ENSG00000183625	CCR3	CC-CKR-3, CD193, CKR3, CMKBR3	P51677	C-C motif chemokine receptor 3	NA	CL_0000771	NA	616|Table Figure 14.10	NA	NA	NA	NA	NA	NA
breast	eosinophil	ENSG00000276409	ENSG00000184371	CCL14	CSF1	C-C motif chemokine ligand 14	Colony stimulating factor 1	Q16627	P09603	ENSG00000144648	ACKR2	CCBP2, CCR10, CCR9, CMKBR9, D6	O00590	Atypical chemokine receptor 2	NA	CL_0000771	NA	NA	NA	NA	NA	NA	NA	NA
breast	eosinophil	ENSG00000276409	ENSG00000184371	CCL14	CSF1	C-C motif chemokine ligand 14	Colony stimulating factor 1	Q16627	P09603	ENSG00000183625	CCR3	CC-CKR-3, CD193, CKR3, CMKBR3	P51677	C-C motif chemokine receptor 3	NA	CL_0000771	NA	NA	NA	NA	NA	NA	NA	NA
breast	eosinophil	ENSG00000276409	ENSG00000188379	CCL14	IFNA2	C-C motif chemokine ligand 14	Interferon alpha 2	Q16627	P01563	ENSG00000144648	ACKR2	CCBP2, CCR10, CCR9, CMKBR9, D6	O00590	Atypical chemokine receptor 2	NA	CL_0000771	NA	NA	NA	NA	NA	NA	NA	NA
breast	eosinophil	ENSG00000276409	ENSG00000188379	CCL14	IFNA2	C-C motif chemokine ligand 14	Interferon alpha 2	Q16627	P01563	ENSG00000183625	CCR3	CC-CKR-3, CD193, CKR3, CMKBR3	P51677	C-C motif chemokine receptor 3	NA	CL_0000771	NA	NA	NA	NA	NA	NA	NA	NA
breast	eosinophil	ENSG00000276409	ENSG00000274736	CCL14	CCL23	C-C motif chemokine ligand 14	C-C motif chemokine ligand 23	Q16627	P55773	ENSG00000144648	ACKR2	CCBP2, CCR10, CCR9, CMKBR9, D6	O00590	Atypical chemokine receptor 2	NA	CL_0000771	NA	NA	NA	Positive	NA	1	NA	31.29
breast	eosinophil	ENSG00000276409	ENSG00000274736	CCL14	CCL23	C-C motif chemokine ligand 14	C-C motif chemokine ligand 23	Q16627	P55773	ENSG00000183625	CCR3	CC-CKR-3, CD193, CKR3, CMKBR3	P51677	C-C motif chemokine receptor 3	NA	CL_0000771	NA	NA	NA	Positive	NA	1	NA	31.29
breast	eosinophil	ENSG00000276409	ENSG00000276070	CCL14	CCL4L2	C-C motif chemokine ligand 14	C-C motif chemokine ligand 4 like 2	Q16627	Q8NHW4	ENSG00000144648	ACKR2	CCBP2, CCR10, CCR9, CMKBR9, D6	O00590	Atypical chemokine receptor 2	NA	CL_0000771	NA	NA	NA	NA	NA	NA	NA	NA
breast	eosinophil	ENSG00000276409	ENSG00000276070	CCL14	CCL4L2	C-C motif chemokine ligand 14	C-C motif chemokine ligand 4 like 2	Q16627	Q8NHW4	ENSG00000183625	CCR3	CC-CKR-3, CD193, CKR3, CMKBR3	P51677	C-C motif chemokine receptor 3	NA	CL_0000771	NA	NA	NA	NA	NA	NA	NA	NA
breast	eosinophil	ENSG00000276409	ENSG00000276085	CCL14	CCL3L1	C-C motif chemokine ligand 14	C-C motif chemokine ligand 3 like 1	Q16627	P16619	ENSG00000144648	ACKR2	CCBP2, CCR10, CCR9, CMKBR9, D6	O00590	Atypical chemokine receptor 2	NA	CL_0000771	NA	NA	NA	NA	NA	NA	NA	NA
breast	eosinophil	ENSG00000276409	ENSG00000276085	CCL14	CCL3L1	C-C motif chemokine ligand 14	C-C motif chemokine ligand 3 like 1	Q16627	P16619	ENSG00000183625	CCR3	CC-CKR-3, CD193, CKR3, CMKBR3	P51677	C-C motif chemokine receptor 3	NA	CL_0000771	NA	NA	NA	NA	NA	NA	NA	NA
breast	MAIT T-cell	ENSG00000276409	ENSG00000090554	CCL14	FLT3LG	C-C motif chemokine ligand 14	Fms related tyrosine kinase 3 ligand	Q16627	P49771	ENSG00000160791	CCR5	CC-CKR-5, CD195, CKR-5, CKR5, CMKBR5, IDDM22	P51681	C-C motif chemokine receptor 5 (gene/pseudogene)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
breast	MAIT T-cell	ENSG00000276409	ENSG00000100311	CCL14	PDGFB	C-C motif chemokine ligand 14	Platelet derived growth factor subunit B	Q16627	P01127	ENSG00000160791	CCR5	CC-CKR-5, CD195, CKR-5, CKR5, CMKBR5, IDDM22	P51681	C-C motif chemokine receptor 5 (gene/pseudogene)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
breast	MAIT T-cell	ENSG00000276409	ENSG00000102245	CCL14	CD40LG	C-C motif chemokine ligand 14	CD40 ligand	Q16627	P29965	ENSG00000160791	CCR5	CC-CKR-5, CD195, CKR-5, CKR5, CMKBR5, IDDM22	P51681	C-C motif chemokine receptor 5 (gene/pseudogene)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
breast	MAIT T-cell	ENSG00000276409	ENSG00000110944	CCL14	IL23A	C-C motif chemokine ligand 14	Interleukin 23 subunit alpha	Q16627	Q9NPF7	ENSG00000160791	CCR5	CC-CKR-5, CD195, CKR-5, CKR5, CMKBR5, IDDM22	P51681	C-C motif chemokine receptor 5 (gene/pseudogene)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
breast	MAIT T-cell	ENSG00000276409	ENSG00000111536	CCL14	IL26	C-C motif chemokine ligand 14	Interleukin 26	Q16627	Q9NPH9	ENSG00000160791	CCR5	CC-CKR-5, CD195, CKR-5, CKR5, CMKBR5, IDDM22	P51681	C-C motif chemokine receptor 5 (gene/pseudogene)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
breast	MAIT T-cell	ENSG00000276409	ENSG00000115009	CCL14	CCL20	C-C motif chemokine ligand 14	C-C motif chemokine ligand 20	Q16627	P78556	ENSG00000160791	CCR5	CC-CKR-5, CD195, CKR-5, CKR5, CMKBR5, IDDM22	P51681	C-C motif chemokine receptor 5 (gene/pseudogene)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
breast	MAIT T-cell	ENSG00000276409	ENSG00000182393	CCL14	IFNL1	C-C motif chemokine ligand 14	Interferon lambda 1	Q16627	Q8IU54	ENSG00000160791	CCR5	CC-CKR-5, CD195, CKR-5, CKR5, CMKBR5, IDDM22	P51681	C-C motif chemokine receptor 5 (gene/pseudogene)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
breast	MAIT T-cell	ENSG00000276409	ENSG00000275302	CCL14	CCL4	C-C motif chemokine ligand 14	C-C motif chemokine ligand 4	Q16627	P13236	ENSG00000160791	CCR5	CC-CKR-5, CD195, CKR-5, CKR5, CMKBR5, IDDM22	P51681	C-C motif chemokine receptor 5 (gene/pseudogene)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
breast	NK-cell	ENSG00000276409	ENSG00000120659	CCL14	TNFSF11	C-C motif chemokine ligand 14	TNF superfamily member 11	Q16627	O14788	ENSG00000144648	ACKR2	CCBP2, CCR10, CCR9, CMKBR9, D6	O00590	Atypical chemokine receptor 2	NA	CL_0000623	NA	NA	NA	NA	NA	NA	NA	NA
breast	NK-cell	ENSG00000276409	ENSG00000125571	CCL14	IL37	C-C motif chemokine ligand 14	Interleukin 37	Q16627	Q9NZH6	ENSG00000144648	ACKR2	CCBP2, CCR10, CCR9, CMKBR9, D6	O00590	Atypical chemokine receptor 2	NA	CL_0000623	NA	NA	NA	NA	NA	NA	NA	NA
breast	NK-cell	ENSG00000276409	ENSG00000128342	CCL14	LIF	C-C motif chemokine ligand 14	LIF, interleukin 6 family cytokine	Q16627	P15018	ENSG00000144648	ACKR2	CCBP2, CCR10, CCR9, CMKBR9, D6	O00590	Atypical chemokine receptor 2	NA	CL_0000623	NA	NA	NA	NA	NA	NA	NA	NA
breast	NK-cell	ENSG00000276409	ENSG00000131142	CCL14	CCL25	C-C motif chemokine ligand 14	C-C motif chemokine ligand 25	Q16627	O15444	ENSG00000144648	ACKR2	CCBP2, CCR10, CCR9, CMKBR9, D6	O00590	Atypical chemokine receptor 2	NA	CL_0000623	NA	NA	NA	NA	NA	NA	NA	NA
breast	NK-cell	ENSG00000276409	ENSG00000143184	CCL14	XCL1	C-C motif chemokine ligand 14	X-C motif chemokine ligand 1	Q16627	P47992	ENSG00000144648	ACKR2	CCBP2, CCR10, CCR9, CMKBR9, D6	O00590	Atypical chemokine receptor 2	NA	CL_0000623	NA	NA	NA	NA	NA	NA	NA	NA
breast	NK-cell	ENSG00000276409	ENSG00000143185	CCL14	XCL2	C-C motif chemokine ligand 14	X-C motif chemokine ligand 2	Q16627	Q9UBD3	ENSG00000144648	ACKR2	CCBP2, CCR10, CCR9, CMKBR9, D6	O00590	Atypical chemokine receptor 2	NA	CL_0000623	NA	NA	NA	NA	NA	NA	NA	NA
breast	NK-cell	ENSG00000276409	ENSG00000164400	CCL14	CSF2	C-C motif chemokine ligand 14	Colony stimulating factor 2	Q16627	P04141	ENSG00000144648	ACKR2	CCBP2, CCR10, CCR9, CMKBR9, D6	O00590	Atypical chemokine receptor 2	NA	CL_0000623	NA	NA	NA	Positive	NA	4	NA	0.43
breast	NK-cell	ENSG00000276409	ENSG00000182393	CCL14	IFNL1	C-C motif chemokine ligand 14	Interferon lambda 1	Q16627	Q8IU54	ENSG00000144648	ACKR2	CCBP2, CCR10, CCR9, CMKBR9, D6	O00590	Atypical chemokine receptor 2	NA	CL_0000623	NA	NA	NA	NA	NA	NA	NA	NA
breast	placenta	ENSG00000276409	ENSG00000019991	CCL14	HGF	C-C motif chemokine ligand 14	Hepatocyte growth factor	Q16627	P14210	ENSG00000144648	ACKR2	CCBP2, CCR10, CCR9, CMKBR9, D6	O00590	Atypical chemokine receptor 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
breast	placenta	ENSG00000276409	ENSG00000105246	CCL14	EBI3	C-C motif chemokine ligand 14	Epstein-Barr virus induced 3	Q16627	Q14213	ENSG00000144648	ACKR2	CCBP2, CCR10, CCR9, CMKBR9, D6	O00590	Atypical chemokine receptor 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
breast	placenta	ENSG00000276409	ENSG00000108700	CCL14	CCL8	C-C motif chemokine ligand 14	C-C motif chemokine ligand 8	Q16627	P80075	ENSG00000144648	ACKR2	CCBP2, CCR10, CCR9, CMKBR9, D6	O00590	Atypical chemokine receptor 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
breast	placenta	ENSG00000276409	ENSG00000118785	CCL14	SPP1	C-C motif chemokine ligand 14	Secreted phosphoprotein 1	Q16627	P10451	ENSG00000144648	ACKR2	CCBP2, CCR10, CCR9, CMKBR9, D6	O00590	Atypical chemokine receptor 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
breast	placenta	ENSG00000276409	ENSG00000130513	CCL14	GDF15	C-C motif chemokine ligand 14	Growth differentiation factor 15	Q16627	Q99988	ENSG00000144648	ACKR2	CCBP2, CCR10, CCR9, CMKBR9, D6	O00590	Atypical chemokine receptor 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
breast	placenta	ENSG00000276409	ENSG00000137747	CCL14	TMPRSS13	C-C motif chemokine ligand 14	Transmembrane serine protease 13	Q16627	Q9BYE2	ENSG00000144648	ACKR2	CCBP2, CCR10, CCR9, CMKBR9, D6	O00590	Atypical chemokine receptor 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
breast	salivary gland	ENSG00000276409	ENSG00000137747	CCL14	TMPRSS13	C-C motif chemokine ligand 14	Transmembrane serine protease 13	Q16627	Q9BYE2	ENSG00000144648	ACKR2	CCBP2, CCR10, CCR9, CMKBR9, D6	O00590	Atypical chemokine receptor 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
breast	salivary gland	ENSG00000276409	ENSG00000142224	CCL14	IL19	C-C motif chemokine ligand 14	Interleukin 19	Q16627	Q9UHD0	ENSG00000144648	ACKR2	CCBP2, CCR10, CCR9, CMKBR9, D6	O00590	Atypical chemokine receptor 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
breast	salivary gland	ENSG00000276409	ENSG00000151882	CCL14	CCL28	C-C motif chemokine ligand 14	C-C motif chemokine ligand 28	Q16627	Q9NRJ3	ENSG00000144648	ACKR2	CCBP2, CCR10, CCR9, CMKBR9, D6	O00590	Atypical chemokine receptor 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
breast	salivary gland	ENSG00000276409	ENSG00000161955	CCL14	TNFSF13	C-C motif chemokine ligand 14	TNF superfamily member 13	Q16627	O75888	ENSG00000144648	ACKR2	CCBP2, CCR10, CCR9, CMKBR9, D6	O00590	Atypical chemokine receptor 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
breast	salivary gland	ENSG00000276409	ENSG00000163735	CCL14	CXCL5	C-C motif chemokine ligand 14	C-X-C motif chemokine ligand 5	Q16627	P42830	ENSG00000144648	ACKR2	CCBP2, CCR10, CCR9, CMKBR9, D6	O00590	Atypical chemokine receptor 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
breast	salivary gland	ENSG00000276409	ENSG00000197110	CCL14	IFNL3	C-C motif chemokine ligand 14	Interferon lambda 3	Q16627	Q8IZI9	ENSG00000144648	ACKR2	CCBP2, CCR10, CCR9, CMKBR9, D6	O00590	Atypical chemokine receptor 2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
classical monocyte	adipose tissue	ENSG00000108688	ENSG00000136244	CCL7	IL6	C-C motif chemokine ligand 7	Interleukin 6	P80098	P05231	ENSG00000213088	ACKR1	CCBP1, CD234, DARC, Dfy, FY, GPD	Q16570	Atypical chemokine receptor 1 (Duffy blood group)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
