Source_tissue,Target_tissue,cytokine_description,cytokine_ensemlb,cytokine_genename,cytokine_uniprot,Receptor_description,Receptor_ensembl,Receptor_genename,Receptor_uniprot,reference,action_sentiment,num_papers,enrichment_score,chains
eosinophil,basophil,Transforming growth factor beta 1,ENSG00000105329,TGFB1,P01137,Integrin subunit beta 8,ENSG00000105855,ITGB8,P26012,"509|Once in the mucosa, TGF-β-dependent class switching to IgA occurs under the influence of local factors, including IL-6, retinoic acid, and BAFF and APRIL (see Fig. 10.6), which bind to TACI on B cells substituting for signals otherwise supplied by CD4 helper T cells (see Section 10-1). Intestinal epithelial cells can produce BAFF and APRIL, while local eosinophils may contribute by producing APRIL, IL-6, and TGF-β.;509|Once in the mucosa, TGF-β-dependent class switching to IgA occurs under the influence of local factors, including IL-6, retinoic acid, and BAFF and APRIL (see Fig. 10.6), which bind to TACI on B cells substituting for signals otherwise supplied by CD4 helper T cells (see Section 10-1). Intestinal epithelial cells can produce BAFF and APRIL, while local eosinophils may contribute by producing APRIL, IL-6, and TGF-β.;509|Once in the mucosa, TGF-β-dependent class switching to IgA occurs under the influence of local factors, including IL-6, retinoic acid, and BAFF and APRIL (see Fig. 10.6), which bind to TACI on B cells substituting for signals otherwise supplied by CD4 helper T cells (see Section 10-1). Intestinal epithelial cells can produce BAFF and APRIL, while local eosinophils may contribute by producing APRIL, IL-6, and TGF-β.;509|Once in the mucosa, TGF-β-dependent class switching to IgA occurs under the influence of local factors, including IL-6, retinoic acid, and BAFF and APRIL (see Fig. 10.6), which bind to TACI on B cells substituting for signals otherwise supplied by CD4 helper T cells (see Section 10-1). Intestinal epithelial cells can produce BAFF and APRIL, while local eosinophils may contribute by producing APRIL, IL-6, and TGF-β.;522|Eosinophils in the healthy intestine assist antigen-specific IgA switching by producing APRIL, IL-6, and TGF-β when exposed to commensal microbes (see Section 12-11).;522|Eosinophils in the healthy intestine assist antigen-specific IgA switching by producing APRIL, IL-6, and TGF-β when exposed to commensal microbes (see Section 12-11).;522|Eosinophils in the healthy intestine assist antigen-specific IgA switching by producing APRIL, IL-6, and TGF-β when exposed to commensal microbes (see Section 12-11).;522|Eosinophils in the healthy intestine assist antigen-specific IgA switching by producing APRIL, IL-6, and TGF-β when exposed to commensal microbes (see Section 12-11).;616|Table Figure 14.10;616|Table Figure 14.10;616|Table Figure 14.10;616|Table Figure 14.10",NA,NA,NA,eosinophil-->TGFB1-->ITGB8-->basophil
eosinophil,basophil,Transforming growth factor beta 1,ENSG00000105329,TGFB1,P01137,Integrin subunit alpha V,ENSG00000138448,ITGAV,P06756,"509|Once in the mucosa, TGF-β-dependent class switching to IgA occurs under the influence of local factors, including IL-6, retinoic acid, and BAFF and APRIL (see Fig. 10.6), which bind to TACI on B cells substituting for signals otherwise supplied by CD4 helper T cells (see Section 10-1). Intestinal epithelial cells can produce BAFF and APRIL, while local eosinophils may contribute by producing APRIL, IL-6, and TGF-β.;509|Once in the mucosa, TGF-β-dependent class switching to IgA occurs under the influence of local factors, including IL-6, retinoic acid, and BAFF and APRIL (see Fig. 10.6), which bind to TACI on B cells substituting for signals otherwise supplied by CD4 helper T cells (see Section 10-1). Intestinal epithelial cells can produce BAFF and APRIL, while local eosinophils may contribute by producing APRIL, IL-6, and TGF-β.;509|Once in the mucosa, TGF-β-dependent class switching to IgA occurs under the influence of local factors, including IL-6, retinoic acid, and BAFF and APRIL (see Fig. 10.6), which bind to TACI on B cells substituting for signals otherwise supplied by CD4 helper T cells (see Section 10-1). Intestinal epithelial cells can produce BAFF and APRIL, while local eosinophils may contribute by producing APRIL, IL-6, and TGF-β.;509|Once in the mucosa, TGF-β-dependent class switching to IgA occurs under the influence of local factors, including IL-6, retinoic acid, and BAFF and APRIL (see Fig. 10.6), which bind to TACI on B cells substituting for signals otherwise supplied by CD4 helper T cells (see Section 10-1). Intestinal epithelial cells can produce BAFF and APRIL, while local eosinophils may contribute by producing APRIL, IL-6, and TGF-β.;522|Eosinophils in the healthy intestine assist antigen-specific IgA switching by producing APRIL, IL-6, and TGF-β when exposed to commensal microbes (see Section 12-11).;522|Eosinophils in the healthy intestine assist antigen-specific IgA switching by producing APRIL, IL-6, and TGF-β when exposed to commensal microbes (see Section 12-11).;522|Eosinophils in the healthy intestine assist antigen-specific IgA switching by producing APRIL, IL-6, and TGF-β when exposed to commensal microbes (see Section 12-11).;522|Eosinophils in the healthy intestine assist antigen-specific IgA switching by producing APRIL, IL-6, and TGF-β when exposed to commensal microbes (see Section 12-11).;616|Table Figure 14.10;616|Table Figure 14.10;616|Table Figure 14.10;616|Table Figure 14.10",NA,NA,NA,eosinophil-->TGFB1-->ITGAV-->basophil
eosinophil,basophil,C-C motif chemokine ligand 2,ENSG00000108691,CCL2,P13500,C-C motif chemokine receptor 2,ENSG00000121807,CCR2,P41597,NA,Positive,3,0.47,eosinophil-->CCL2-->CCR2-->basophil
eosinophil,basophil,C-C motif chemokine ligand 2,ENSG00000108691,CCL2,P13500,Atypical chemokine receptor 4,ENSG00000129048,ACKR4,Q9NPB9,NA,Positive,3,0.47,eosinophil-->CCL2-->ACKR4-->basophil
eosinophil,basophil,C-C motif chemokine ligand 2,ENSG00000108691,CCL2,P13500,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,Positive,3,0.47,eosinophil-->CCL2-->CCR3-->basophil
eosinophil,basophil,C-C motif chemokine ligand 4 like 2,ENSG00000276070,CCL4L2,Q8NHW4,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,eosinophil-->CCL4L2-->CCR3-->basophil
eosinophil,basophil,C-C motif chemokine ligand 3 like 1,ENSG00000276085,CCL3L1,P16619,C-C motif chemokine receptor 3,ENSG00000183625,CCR3,P51677,NA,NA,NA,NA,eosinophil-->CCL3L1-->CCR3-->basophil
eosinophil,bone marrow,Transforming growth factor beta 1,ENSG00000105329,TGFB1,P01137,C-X-C motif chemokine receptor 4,ENSG00000121966,CXCR4,P61073,"509|Once in the mucosa, TGF-β-dependent class switching to IgA occurs under the influence of local factors, including IL-6, retinoic acid, and BAFF and APRIL (see Fig. 10.6), which bind to TACI on B cells substituting for signals otherwise supplied by CD4 helper T cells (see Section 10-1). Intestinal epithelial cells can produce BAFF and APRIL, while local eosinophils may contribute by producing APRIL, IL-6, and TGF-β.;509|Once in the mucosa, TGF-β-dependent class switching to IgA occurs under the influence of local factors, including IL-6, retinoic acid, and BAFF and APRIL (see Fig. 10.6), which bind to TACI on B cells substituting for signals otherwise supplied by CD4 helper T cells (see Section 10-1). Intestinal epithelial cells can produce BAFF and APRIL, while local eosinophils may contribute by producing APRIL, IL-6, and TGF-β.;522|Eosinophils in the healthy intestine assist antigen-specific IgA switching by producing APRIL, IL-6, and TGF-β when exposed to commensal microbes (see Section 12-11).;522|Eosinophils in the healthy intestine assist antigen-specific IgA switching by producing APRIL, IL-6, and TGF-β when exposed to commensal microbes (see Section 12-11).;616|Table Figure 14.10;616|Table Figure 14.10",NA,NA,NA,eosinophil-->TGFB1-->CXCR4-->bone marrow
eosinophil,classical monocyte,Transforming growth factor beta 1,ENSG00000105329,TGFB1,P01137,Activin A receptor like type 1,ENSG00000139567,ACVRL1,P37023,"509|Once in the mucosa, TGF-β-dependent class switching to IgA occurs under the influence of local factors, including IL-6, retinoic acid, and BAFF and APRIL (see Fig. 10.6), which bind to TACI on B cells substituting for signals otherwise supplied by CD4 helper T cells (see Section 10-1). Intestinal epithelial cells can produce BAFF and APRIL, while local eosinophils may contribute by producing APRIL, IL-6, and TGF-β.;509|Once in the mucosa, TGF-β-dependent class switching to IgA occurs under the influence of local factors, including IL-6, retinoic acid, and BAFF and APRIL (see Fig. 10.6), which bind to TACI on B cells substituting for signals otherwise supplied by CD4 helper T cells (see Section 10-1). Intestinal epithelial cells can produce BAFF and APRIL, while local eosinophils may contribute by producing APRIL, IL-6, and TGF-β.;522|Eosinophils in the healthy intestine assist antigen-specific IgA switching by producing APRIL, IL-6, and TGF-β when exposed to commensal microbes (see Section 12-11).;522|Eosinophils in the healthy intestine assist antigen-specific IgA switching by producing APRIL, IL-6, and TGF-β when exposed to commensal microbes (see Section 12-11).;616|Table Figure 14.10;616|Table Figure 14.10",NA,NA,NA,eosinophil-->TGFB1-->ACVRL1-->classical monocyte
eosinophil,gdT-cell,Transforming growth factor alpha,ENSG00000163235,TGFA,P01135,Erb-b2 receptor tyrosine kinase 2,ENSG00000141736,ERBB2,P04626,616|Table Figure 14.10,NA,NA,NA,eosinophil-->TGFA-->ERBB2-->gdT-cell
eosinophil,intermediate monocyte,Interleukin 34,ENSG00000157368,IL34,Q6ZMJ4,Colony stimulating factor 1 receptor,ENSG00000182578,CSF1R,P07333,NA,NA,NA,NA,eosinophil-->IL34-->CSF1R-->intermediate monocyte
eosinophil,intermediate monocyte,Colony stimulating factor 1,ENSG00000184371,CSF1,P09603,Colony stimulating factor 1 receptor,ENSG00000182578,CSF1R,P07333,NA,NA,NA,NA,eosinophil-->CSF1-->CSF1R-->intermediate monocyte
eosinophil,intestine,C-C motif chemokine ligand 2,ENSG00000108691,CCL2,P13500,Atypical chemokine receptor 4,ENSG00000129048,ACKR4,Q9NPB9,NA,Positive,3,0.47,eosinophil-->CCL2-->ACKR4-->intestine
eosinophil,intestine,TNF superfamily member 13,ENSG00000161955,TNFSF13,O75888,TNF receptor superfamily member 17,ENSG00000048462,TNFRSF17,Q02223,"509|Once in the mucosa, TGF-β-dependent class switching to IgA occurs under the influence of local factors, including IL-6, retinoic acid, and BAFF and APRIL (see Fig. 10.6), which bind to TACI on B cells substituting for signals otherwise supplied by CD4 helper T cells (see Section 10-1). Intestinal epithelial cells can produce BAFF and APRIL, while local eosinophils may contribute by producing APRIL, IL-6, and TGF-β.;522|Eosinophils in the healthy intestine assist antigen-specific IgA switching by producing APRIL, IL-6, and TGF-β when exposed to commensal microbes (see Section 12-11).",NA,NA,NA,eosinophil-->TNFSF13-->TNFRSF17-->intestine
eosinophil,kidney,Transforming growth factor beta 1,ENSG00000105329,TGFB1,P01137,Integrin subunit beta 6,ENSG00000115221,ITGB6,P18564,"509|Once in the mucosa, TGF-β-dependent class switching to IgA occurs under the influence of local factors, including IL-6, retinoic acid, and BAFF and APRIL (see Fig. 10.6), which bind to TACI on B cells substituting for signals otherwise supplied by CD4 helper T cells (see Section 10-1). Intestinal epithelial cells can produce BAFF and APRIL, while local eosinophils may contribute by producing APRIL, IL-6, and TGF-β.;509|Once in the mucosa, TGF-β-dependent class switching to IgA occurs under the influence of local factors, including IL-6, retinoic acid, and BAFF and APRIL (see Fig. 10.6), which bind to TACI on B cells substituting for signals otherwise supplied by CD4 helper T cells (see Section 10-1). Intestinal epithelial cells can produce BAFF and APRIL, while local eosinophils may contribute by producing APRIL, IL-6, and TGF-β.;522|Eosinophils in the healthy intestine assist antigen-specific IgA switching by producing APRIL, IL-6, and TGF-β when exposed to commensal microbes (see Section 12-11).;522|Eosinophils in the healthy intestine assist antigen-specific IgA switching by producing APRIL, IL-6, and TGF-β when exposed to commensal microbes (see Section 12-11).;616|Table Figure 14.10;616|Table Figure 14.10",NA,NA,NA,eosinophil-->TGFB1-->ITGB6-->kidney
eosinophil,liver,Transforming growth factor beta 1,ENSG00000105329,TGFB1,P01137,Syndecan 2,ENSG00000169439,SDC2,P34741,"509|Once in the mucosa, TGF-β-dependent class switching to IgA occurs under the influence of local factors, including IL-6, retinoic acid, and BAFF and APRIL (see Fig. 10.6), which bind to TACI on B cells substituting for signals otherwise supplied by CD4 helper T cells (see Section 10-1). Intestinal epithelial cells can produce BAFF and APRIL, while local eosinophils may contribute by producing APRIL, IL-6, and TGF-β.;509|Once in the mucosa, TGF-β-dependent class switching to IgA occurs under the influence of local factors, including IL-6, retinoic acid, and BAFF and APRIL (see Fig. 10.6), which bind to TACI on B cells substituting for signals otherwise supplied by CD4 helper T cells (see Section 10-1). Intestinal epithelial cells can produce BAFF and APRIL, while local eosinophils may contribute by producing APRIL, IL-6, and TGF-β.;522|Eosinophils in the healthy intestine assist antigen-specific IgA switching by producing APRIL, IL-6, and TGF-β when exposed to commensal microbes (see Section 12-11).;522|Eosinophils in the healthy intestine assist antigen-specific IgA switching by producing APRIL, IL-6, and TGF-β when exposed to commensal microbes (see Section 12-11).;616|Table Figure 14.10;616|Table Figure 14.10",NA,NA,NA,eosinophil-->TGFB1-->SDC2-->liver
eosinophil,liver,TNF superfamily member 13,ENSG00000161955,TNFSF13,O75888,Syndecan 2,ENSG00000169439,SDC2,P34741,"509|Once in the mucosa, TGF-β-dependent class switching to IgA occurs under the influence of local factors, including IL-6, retinoic acid, and BAFF and APRIL (see Fig. 10.6), which bind to TACI on B cells substituting for signals otherwise supplied by CD4 helper T cells (see Section 10-1). Intestinal epithelial cells can produce BAFF and APRIL, while local eosinophils may contribute by producing APRIL, IL-6, and TGF-β.;522|Eosinophils in the healthy intestine assist antigen-specific IgA switching by producing APRIL, IL-6, and TGF-β when exposed to commensal microbes (see Section 12-11).",NA,NA,NA,eosinophil-->TNFSF13-->SDC2-->liver
eosinophil,lung,Transforming growth factor beta 1,ENSG00000105329,TGFB1,P01137,Activin A receptor like type 1,ENSG00000139567,ACVRL1,P37023,"509|Once in the mucosa, TGF-β-dependent class switching to IgA occurs under the influence of local factors, including IL-6, retinoic acid, and BAFF and APRIL (see Fig. 10.6), which bind to TACI on B cells substituting for signals otherwise supplied by CD4 helper T cells (see Section 10-1). Intestinal epithelial cells can produce BAFF and APRIL, while local eosinophils may contribute by producing APRIL, IL-6, and TGF-β.;509|Once in the mucosa, TGF-β-dependent class switching to IgA occurs under the influence of local factors, including IL-6, retinoic acid, and BAFF and APRIL (see Fig. 10.6), which bind to TACI on B cells substituting for signals otherwise supplied by CD4 helper T cells (see Section 10-1). Intestinal epithelial cells can produce BAFF and APRIL, while local eosinophils may contribute by producing APRIL, IL-6, and TGF-β.;522|Eosinophils in the healthy intestine assist antigen-specific IgA switching by producing APRIL, IL-6, and TGF-β when exposed to commensal microbes (see Section 12-11).;522|Eosinophils in the healthy intestine assist antigen-specific IgA switching by producing APRIL, IL-6, and TGF-β when exposed to commensal microbes (see Section 12-11).;616|Table Figure 14.10;616|Table Figure 14.10",NA,NA,NA,eosinophil-->TGFB1-->ACVRL1-->lung
eosinophil,MAIT T-cell,C-C motif chemokine ligand 2,ENSG00000108691,CCL2,P13500,C-C motif chemokine receptor 5 (gene/pseudogene),ENSG00000160791,CCR5,P51681,NA,Positive,3,0.47,eosinophil-->CCL2-->CCR5-->MAIT T-cell
eosinophil,MAIT T-cell,C-C motif chemokine ligand 4 like 2,ENSG00000276070,CCL4L2,Q8NHW4,C-C motif chemokine receptor 5 (gene/pseudogene),ENSG00000160791,CCR5,P51681,NA,NA,NA,NA,eosinophil-->CCL4L2-->CCR5-->MAIT T-cell
eosinophil,MAIT T-cell,C-C motif chemokine ligand 3 like 1,ENSG00000276085,CCL3L1,P16619,C-C motif chemokine receptor 5 (gene/pseudogene),ENSG00000160791,CCR5,P51681,NA,NA,NA,NA,eosinophil-->CCL3L1-->CCR5-->MAIT T-cell
eosinophil,memory B-cell,TNF superfamily member 13,ENSG00000161955,TNFSF13,O75888,TNF receptor superfamily member 17,ENSG00000048462,TNFRSF17,Q02223,"509|Once in the mucosa, TGF-β-dependent class switching to IgA occurs under the influence of local factors, including IL-6, retinoic acid, and BAFF and APRIL (see Fig. 10.6), which bind to TACI on B cells substituting for signals otherwise supplied by CD4 helper T cells (see Section 10-1). Intestinal epithelial cells can produce BAFF and APRIL, while local eosinophils may contribute by producing APRIL, IL-6, and TGF-β.;522|Eosinophils in the healthy intestine assist antigen-specific IgA switching by producing APRIL, IL-6, and TGF-β when exposed to commensal microbes (see Section 12-11).",NA,NA,NA,eosinophil-->TNFSF13-->TNFRSF17-->memory B-cell
eosinophil,memory B-cell,TNF superfamily member 13,ENSG00000161955,TNFSF13,O75888,TNF receptor superfamily member 13B,ENSG00000240505,TNFRSF13B,O14836,"509|Once in the mucosa, TGF-β-dependent class switching to IgA occurs under the influence of local factors, including IL-6, retinoic acid, and BAFF and APRIL (see Fig. 10.6), which bind to TACI on B cells substituting for signals otherwise supplied by CD4 helper T cells (see Section 10-1). Intestinal epithelial cells can produce BAFF and APRIL, while local eosinophils may contribute by producing APRIL, IL-6, and TGF-β.;522|Eosinophils in the healthy intestine assist antigen-specific IgA switching by producing APRIL, IL-6, and TGF-β when exposed to commensal microbes (see Section 12-11).",NA,NA,NA,eosinophil-->TNFSF13-->TNFRSF13B-->memory B-cell
eosinophil,myeloid DC,Transforming growth factor beta 1,ENSG00000105329,TGFB1,P01137,Activin A receptor like type 1,ENSG00000139567,ACVRL1,P37023,"509|Once in the mucosa, TGF-β-dependent class switching to IgA occurs under the influence of local factors, including IL-6, retinoic acid, and BAFF and APRIL (see Fig. 10.6), which bind to TACI on B cells substituting for signals otherwise supplied by CD4 helper T cells (see Section 10-1). Intestinal epithelial cells can produce BAFF and APRIL, while local eosinophils may contribute by producing APRIL, IL-6, and TGF-β.;509|Once in the mucosa, TGF-β-dependent class switching to IgA occurs under the influence of local factors, including IL-6, retinoic acid, and BAFF and APRIL (see Fig. 10.6), which bind to TACI on B cells substituting for signals otherwise supplied by CD4 helper T cells (see Section 10-1). Intestinal epithelial cells can produce BAFF and APRIL, while local eosinophils may contribute by producing APRIL, IL-6, and TGF-β.;522|Eosinophils in the healthy intestine assist antigen-specific IgA switching by producing APRIL, IL-6, and TGF-β when exposed to commensal microbes (see Section 12-11).;522|Eosinophils in the healthy intestine assist antigen-specific IgA switching by producing APRIL, IL-6, and TGF-β when exposed to commensal microbes (see Section 12-11).;616|Table Figure 14.10;616|Table Figure 14.10",NA,NA,NA,eosinophil-->TGFB1-->ACVRL1-->myeloid DC
eosinophil,naive B-cell,TNF superfamily member 13,ENSG00000161955,TNFSF13,O75888,TNF receptor superfamily member 17,ENSG00000048462,TNFRSF17,Q02223,"509|Once in the mucosa, TGF-β-dependent class switching to IgA occurs under the influence of local factors, including IL-6, retinoic acid, and BAFF and APRIL (see Fig. 10.6), which bind to TACI on B cells substituting for signals otherwise supplied by CD4 helper T cells (see Section 10-1). Intestinal epithelial cells can produce BAFF and APRIL, while local eosinophils may contribute by producing APRIL, IL-6, and TGF-β.;522|Eosinophils in the healthy intestine assist antigen-specific IgA switching by producing APRIL, IL-6, and TGF-β when exposed to commensal microbes (see Section 12-11).",NA,NA,NA,eosinophil-->TNFSF13-->TNFRSF17-->naive B-cell
eosinophil,naive B-cell,TNF superfamily member 13,ENSG00000161955,TNFSF13,O75888,TNF receptor superfamily member 13B,ENSG00000240505,TNFRSF13B,O14836,"509|Once in the mucosa, TGF-β-dependent class switching to IgA occurs under the influence of local factors, including IL-6, retinoic acid, and BAFF and APRIL (see Fig. 10.6), which bind to TACI on B cells substituting for signals otherwise supplied by CD4 helper T cells (see Section 10-1). Intestinal epithelial cells can produce BAFF and APRIL, while local eosinophils may contribute by producing APRIL, IL-6, and TGF-β.;522|Eosinophils in the healthy intestine assist antigen-specific IgA switching by producing APRIL, IL-6, and TGF-β when exposed to commensal microbes (see Section 12-11).",NA,NA,NA,eosinophil-->TNFSF13-->TNFRSF13B-->naive B-cell
eosinophil,neutrophil,Transforming growth factor beta 1,ENSG00000105329,TGFB1,P01137,Syndecan 2,ENSG00000169439,SDC2,P34741,"509|Once in the mucosa, TGF-β-dependent class switching to IgA occurs under the influence of local factors, including IL-6, retinoic acid, and BAFF and APRIL (see Fig. 10.6), which bind to TACI on B cells substituting for signals otherwise supplied by CD4 helper T cells (see Section 10-1). Intestinal epithelial cells can produce BAFF and APRIL, while local eosinophils may contribute by producing APRIL, IL-6, and TGF-β.;509|Once in the mucosa, TGF-β-dependent class switching to IgA occurs under the influence of local factors, including IL-6, retinoic acid, and BAFF and APRIL (see Fig. 10.6), which bind to TACI on B cells substituting for signals otherwise supplied by CD4 helper T cells (see Section 10-1). Intestinal epithelial cells can produce BAFF and APRIL, while local eosinophils may contribute by producing APRIL, IL-6, and TGF-β.;522|Eosinophils in the healthy intestine assist antigen-specific IgA switching by producing APRIL, IL-6, and TGF-β when exposed to commensal microbes (see Section 12-11).;522|Eosinophils in the healthy intestine assist antigen-specific IgA switching by producing APRIL, IL-6, and TGF-β when exposed to commensal microbes (see Section 12-11).;616|Table Figure 14.10;616|Table Figure 14.10",NA,NA,NA,eosinophil-->TGFB1-->SDC2-->neutrophil
eosinophil,neutrophil,TNF superfamily member 13,ENSG00000161955,TNFSF13,O75888,Syndecan 2,ENSG00000169439,SDC2,P34741,"509|Once in the mucosa, TGF-β-dependent class switching to IgA occurs under the influence of local factors, including IL-6, retinoic acid, and BAFF and APRIL (see Fig. 10.6), which bind to TACI on B cells substituting for signals otherwise supplied by CD4 helper T cells (see Section 10-1). Intestinal epithelial cells can produce BAFF and APRIL, while local eosinophils may contribute by producing APRIL, IL-6, and TGF-β.;522|Eosinophils in the healthy intestine assist antigen-specific IgA switching by producing APRIL, IL-6, and TGF-β when exposed to commensal microbes (see Section 12-11).",NA,NA,NA,eosinophil-->TNFSF13-->SDC2-->neutrophil
eosinophil,NK-cell,C-C motif chemokine ligand 2,ENSG00000108691,CCL2,P13500,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,Positive,3,0.47,eosinophil-->CCL2-->ACKR2-->NK-cell
eosinophil,NK-cell,C-C motif chemokine ligand 23,ENSG00000274736,CCL23,P55773,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,Positive,1,31.29,eosinophil-->CCL23-->ACKR2-->NK-cell
eosinophil,NK-cell,C-C motif chemokine ligand 4 like 2,ENSG00000276070,CCL4L2,Q8NHW4,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,eosinophil-->CCL4L2-->ACKR2-->NK-cell
eosinophil,NK-cell,C-C motif chemokine ligand 3 like 1,ENSG00000276085,CCL3L1,P16619,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,eosinophil-->CCL3L1-->ACKR2-->NK-cell
eosinophil,non-classical monocyte,Interleukin 34,ENSG00000157368,IL34,Q6ZMJ4,Colony stimulating factor 1 receptor,ENSG00000182578,CSF1R,P07333,NA,NA,NA,NA,eosinophil-->IL34-->CSF1R-->non-classical monocyte
eosinophil,non-classical monocyte,Colony stimulating factor 1,ENSG00000184371,CSF1,P09603,Colony stimulating factor 1 receptor,ENSG00000182578,CSF1R,P07333,NA,NA,NA,NA,eosinophil-->CSF1-->CSF1R-->non-classical monocyte
eosinophil,placenta,C-C motif chemokine ligand 2,ENSG00000108691,CCL2,P13500,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,Positive,3,0.47,eosinophil-->CCL2-->ACKR2-->placenta
eosinophil,placenta,C-C motif chemokine ligand 23,ENSG00000274736,CCL23,P55773,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,Positive,1,31.29,eosinophil-->CCL23-->ACKR2-->placenta
eosinophil,placenta,C-C motif chemokine ligand 4 like 2,ENSG00000276070,CCL4L2,Q8NHW4,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,eosinophil-->CCL4L2-->ACKR2-->placenta
eosinophil,placenta,C-C motif chemokine ligand 3 like 1,ENSG00000276085,CCL3L1,P16619,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,eosinophil-->CCL3L1-->ACKR2-->placenta
eosinophil,salivary gland,C-C motif chemokine ligand 2,ENSG00000108691,CCL2,P13500,Atypical chemokine receptor 4,ENSG00000129048,ACKR4,Q9NPB9,NA,Positive,3,0.47,eosinophil-->CCL2-->ACKR4-->salivary gland
eosinophil,salivary gland,C-C motif chemokine ligand 2,ENSG00000108691,CCL2,P13500,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,Positive,3,0.47,eosinophil-->CCL2-->ACKR2-->salivary gland
eosinophil,salivary gland,C-C motif chemokine ligand 23,ENSG00000274736,CCL23,P55773,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,Positive,1,31.29,eosinophil-->CCL23-->ACKR2-->salivary gland
eosinophil,salivary gland,C-C motif chemokine ligand 4 like 2,ENSG00000276070,CCL4L2,Q8NHW4,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,eosinophil-->CCL4L2-->ACKR2-->salivary gland
eosinophil,salivary gland,C-C motif chemokine ligand 3 like 1,ENSG00000276085,CCL3L1,P16619,Atypical chemokine receptor 2,ENSG00000144648,ACKR2,O00590,NA,NA,NA,NA,eosinophil-->CCL3L1-->ACKR2-->salivary gland
eosinophil,skeletal muscle,TNF superfamily member 13,ENSG00000161955,TNFSF13,O75888,TNF receptor superfamily member 13B,ENSG00000240505,TNFRSF13B,O14836,"509|Once in the mucosa, TGF-β-dependent class switching to IgA occurs under the influence of local factors, including IL-6, retinoic acid, and BAFF and APRIL (see Fig. 10.6), which bind to TACI on B cells substituting for signals otherwise supplied by CD4 helper T cells (see Section 10-1). Intestinal epithelial cells can produce BAFF and APRIL, while local eosinophils may contribute by producing APRIL, IL-6, and TGF-β.;522|Eosinophils in the healthy intestine assist antigen-specific IgA switching by producing APRIL, IL-6, and TGF-β when exposed to commensal microbes (see Section 12-11).",NA,NA,NA,eosinophil-->TNFSF13-->TNFRSF13B-->skeletal muscle
eosinophil,T-reg,C-C motif chemokine ligand 2,ENSG00000108691,CCL2,P13500,C-C motif chemokine receptor 4,ENSG00000183813,CCR4,P51679,NA,Positive,3,0.47,eosinophil-->CCL2-->CCR4-->T-reg
eosinophil,T-reg,C-C motif chemokine ligand 2,ENSG00000108691,CCL2,P13500,C-C motif chemokine receptor 10,ENSG00000184451,CCR10,P46092,NA,Positive,3,0.47,eosinophil-->CCL2-->CCR10-->T-reg
eosinophil,T-reg,C-C motif chemokine ligand 4 like 2,ENSG00000276070,CCL4L2,Q8NHW4,C-C motif chemokine receptor 8,ENSG00000179934,CCR8,P51685,NA,NA,NA,NA,eosinophil-->CCL4L2-->CCR8-->T-reg
eosinophil,thyroid gland,Transforming growth factor beta 1,ENSG00000105329,TGFB1,P01137,Syndecan 2,ENSG00000169439,SDC2,P34741,"509|Once in the mucosa, TGF-β-dependent class switching to IgA occurs under the influence of local factors, including IL-6, retinoic acid, and BAFF and APRIL (see Fig. 10.6), which bind to TACI on B cells substituting for signals otherwise supplied by CD4 helper T cells (see Section 10-1). Intestinal epithelial cells can produce BAFF and APRIL, while local eosinophils may contribute by producing APRIL, IL-6, and TGF-β.;509|Once in the mucosa, TGF-β-dependent class switching to IgA occurs under the influence of local factors, including IL-6, retinoic acid, and BAFF and APRIL (see Fig. 10.6), which bind to TACI on B cells substituting for signals otherwise supplied by CD4 helper T cells (see Section 10-1). Intestinal epithelial cells can produce BAFF and APRIL, while local eosinophils may contribute by producing APRIL, IL-6, and TGF-β.;522|Eosinophils in the healthy intestine assist antigen-specific IgA switching by producing APRIL, IL-6, and TGF-β when exposed to commensal microbes (see Section 12-11).;522|Eosinophils in the healthy intestine assist antigen-specific IgA switching by producing APRIL, IL-6, and TGF-β when exposed to commensal microbes (see Section 12-11).;616|Table Figure 14.10;616|Table Figure 14.10",NA,NA,NA,eosinophil-->TGFB1-->SDC2-->thyroid gland
